il,ad,kategori,etiketler,puan,yorum_sayisi,adres,telefon,fiyat,enlem,boylam,maps_url,foto_url,not
Kırklareli,Esnaf Sanatkar Odası Düğün Salonu,Düğün Salonu,Sulu Yemek,4.3,238,"Karakaş, 11. Kavaklı Sk. No:3, 39010 Kırklareli Merkez/Kırklareli",,,41.7207467,27.2125608,https://maps.google.com/?cid=1004608577415673445,,
Kırklareli,Kırklareli Değirmen Çorba,Restoran,Çorba,4.5,181,"Karakaş, Gazhane Sk. No:78, 39000 Kırklareli Merkez/Kırklareli",+90 546 288 39 10,2,41.7282386,27.2188351,https://maps.google.com/?cid=11168803102150851061,,
Kırklareli,Tarihi Şar Lokantası 1933,Restoran,Sulu Yemek,4.4,137,"Karakaş, Fevzi Çakmak Blv. No:35/D, 39100 Marmara Bölgesi/Kırklareli Merkez/Kırklareli",+90 288 212 20 40,2,41.7338556,27.2211397,https://maps.google.com/?cid=685583304044123097,,
Kırşehir,Kardeşler Et Mangal,Restoran,Lokanta,4.6,323,"Medrese, 58. Sk. No:5 D:10, 40200 Kırşehir Merkez/Kırşehir",+90 534 728 38 40,2,39.1457579,34.164145999999995,https://maps.google.com/?cid=15897168302470587314,,
Kırşehir,Qümes Kırşehir,Restoran,Lokanta,4.8,208,"Yenice, Gazi Osman Paşa Blv. No:8/A, 40200 Kırşehir Merkez/Kırşehir",+90 530 933 38 40,2,39.1387554,34.1601169,https://maps.google.com/?cid=7030210538438049771,,
Kırşehir,Elisa Yemek Çorbacım Şahin Usta,Aile restoranı,Çorba,5,101,"Şehit, Ahievran, Bekir Korkmaz Cd No:17 b, 40100 Kırşehir Merkez/Kırşehir",+90 545 635 72 42,,39.1486825,34.1611329,https://maps.google.com/?cid=843148153273162263,,
Kırşehir,ÖMER USTA ET LOKANTASI KIRŞEHİR ŞUBESİ,Restoran,Sulu Yemek,4.3,166,"Yenice, Dr. Sadık Ahmet Blv., 40100 Kırşehir Merkez/Kırşehir",+90 386 214 03 86,2,39.134798499999995,34.169944,https://maps.google.com/?cid=18287566112394674638,,
Kırşehir,MEHMET USTA,Restoran,Lokanta,4.4,135,"Ahievran Mah Aşık Paşa Bulvarı Ahievran, Aşıkpaşa, lise caddesi apt No:13/B, 40100 Kırşehir Merkez/Kırşehir",+90 386 213 82 12,2,39.1471994,34.162381499999995,https://maps.google.com/?cid=9546449257140094694,,
Kırşehir,Dürümcümm,Türk restoranı,Döner,5,59,"istenbul apart, Kuşdilli, sebze pazar yeri yanı altı, 40150 Kırşehir Merkez/Kırşehir",+90 545 991 00 40,1,39.1422899,34.1569052,https://maps.google.com/?cid=683002411261486166,,
Kocaeli,Çınar Lokantası,Restoran,Sulu Yemek,4.3,422,"Ömerağa, Şahabettin Bilgisu Cd. No:38, 41040 İzmit/Kocaeli",+90 262 321 96 94,2,40.762185099999996,29.9295386,https://maps.google.com/?cid=17361134190576033342,,
Kocaeli,Huzur Esnaf Lokantası,Restoran,Sulu Yemek,4.3,245,"Kadıköy, Turan Güneş Cd. No:224 D:3A, 41060 İzmit/Kocaeli",+90 262 322 46 48,2,40.771285999999996,29.9491062,https://maps.google.com/?cid=11781395261071730130,,
Kütahya,Fesleğen Restoran,Restoran,Lokanta,4.6,5518,"Servi, Merkez Sk. No:29, 43030 Kütahya Merkez/Kütahya",+90 274 231 43 43,2,39.4234435,29.9874531,https://maps.google.com/?cid=8215492075594332120,,
Kütahya,Refika Tesisleri (Ballı Kaymaklı Gözleme),Kahvaltı restoranı,Kahvaltı,4.4,3874,"Kütahya-Eskişehir Karayolu 5. Km, İnköy, 43100 Kütahya Merkez/Kütahya",+90 274 225 10 03,2,39.4509678,30.0115429,https://maps.google.com/?cid=7402248641878484020,,
Kütahya,ETUSTA (BAŞTAŞ GRUP),Restoran,Lokanta,4.4,2061,"KÜTAHYA ESKİŞEHİR KARAYOLU ÜZERİ 8.KM KÜTAHYA ESKİŞEHİR KARAYOLU, Çalca, 43100 Kütahya Merkez/Kütahya",+90 274 666 11 44,2,39.4799376,30.035623899999997,https://maps.google.com/?cid=14335431352176526047,,
Kütahya,Güral Ocakbaşı Restaurant,Restoran,Kebap,4.4,1010,"Zafertepe mevkii, Güral porselen Mağazası yanı, Zafertepe, Afyon Kütahya Yolu 8.km, 43020 Kütahya Merkez/Kütahya",+90 274 227 08 08,,39.378835699999996,30.050538399999994,https://maps.google.com/?cid=17486784258822721007,,
Kütahya,Hünkar Ev Yemekleri / Merkez,Restoran,Sulu Yemek,4.6,720,"Meydan, Mithatpaşa Cd No:30A, 43100 Kütahya Merkez/Kütahya",+90 551 870 07 01,2,39.4221059,29.9847395,https://maps.google.com/?cid=8982951444210465244,,
Kütahya,Gastro KEYF,Restoran,Lokanta,4.4,902,"İnköy, Kütahya - Eskişehir Yolu 5.Km, 43100 Kütahya Merkez/Kütahya",+90 274 225 06 06,2,39.4580382,30.017486899999998,https://maps.google.com/?cid=12581459648523849836,,
Kütahya,Gastro Kütahya,Aile restoranı,Aile restoranı,4.5,398,"Çalca Mahallesi, Kütahya-Eskişehir Karayolu Bulvarı No:116/3 Çalca Mahallesi, Eskişehir, Karayolu Bulvarı No:116/3, 43100 Kütahya Merkez/Kütahya",+90 507 707 73 43,2,39.4690917,30.027557299999998,https://maps.google.com/?cid=573429778311475140,,
Kütahya,Bulvar Çorba,Restoran,Çorba,4.8,254,"Yıldırım Beyazıt Mahallesi Atatürk Bulvarı, Aytemiz Petrol, Yıldırım Beyazıt, Karşısı No:62 D:C, 43020 Kütahya Merkez/Kütahya",+90 532 679 00 43,2,39.426080299999995,29.9909839,https://maps.google.com/?cid=1075559845032508338,,
Kütahya,Cumhuriyet Lokantası,Restoran,Et|Sulu Yemek,4.3,392,"Fuatpaşa, 43030 Kütahya Merkez/Kütahya, Türkiye",+90 274 231 68 60,2,39.4282778,29.972191700000003,https://maps.google.com/?cid=4058415836064568381,,
Kütahya,Pideco - Pide ve Lahmacun,Restoran,Lahmacun & Pide,4.5,226,"Servi, Atatürk Blv. 71/A, 43030 Kütahya Merkez/Kütahya",+90 274 502 28 88,2,39.4235232,29.988393700000003,https://maps.google.com/?cid=16507023873921209818,,
Malatya,Hacı Baba Et Lokantası 1942,Restoran,Et|Sulu Yemek,4.4,5249,"Ankara asfaltı 7.km, Divalin otel arkasi, Yakınca, Şht. Mürsel Karataş Cd. Malatya saray havuzbasi tesisleri No:25, 44100 Yeşilyurt/Malatya",+90 536 371 47 44,2,38.3338137,38.227771700000005,https://maps.google.com/?cid=9103716259334778004,,
Malatya,Kebap 50 Nc,Kebap Restoranı,Kebap,4.3,2194,"Göztepe, Recai Kutan Cd., 44050 Merkez/Malatya",+90 422 311 17 57,2,38.3611315,38.334421,https://maps.google.com/?cid=4927652703950647766,,
Malatya,Hünkar Sofrası,Restoran,Sulu Yemek,4.3,665,"Nakliyatçılar Sitesi Dilek Yolu D:1, Galericiler Sitesi Karşısı, Yeşiltepe,, Malatya Merkez, Malatya, Hoca Ahmet Yesevi, 44900 yeşiltepe/Yeşilyurt/Malatya",+90 422 336 55 77,2,38.3777389,38.276576299999995,https://maps.google.com/?cid=3225401825269144430,,
Malatya,LEZZET OCAKBAŞI,Restoran,Lokanta,4.4,261,"İnönü, Kömür Tevzi Yolu Cd. 5. Sk. 1. Ar. No:4, 44070 Malatya Merkez/Malatya",+90 530 814 44 63,2,38.352677199999995,38.2916619,https://maps.google.com/?cid=12563317696454431344,,
Kahramanmaraş,Hacı Milcan Et Lokantası,Restoran,Et|Sulu Yemek,4.5,2074,"Bahçelievler, Hoca Ahmet Yesevi Blv. No:7/A, 46100 Dulkadiroğlu/Kahramanmaraş",+90 532 401 86 15,2,37.5708653,36.9335376,https://maps.google.com/?cid=16454406070828637699,,
Kahramanmaraş,FAHRİ USTA PAÇA & ÇORBA,Çorbacı,Çorba,4.3,1578,"Şehit Abdullah Çavuş, 66012. Sk. Önder Sitesi No:4/E, 46050 Onikişubat/Kahramanmaraş",+90 344 215 35 35,2,37.5810069,36.8846296,https://maps.google.com/?cid=2355365176299573386,,
Kahramanmaraş,Şef Osman,Restoran,Lokanta,4.7,566,"Menderes mah. Trabzon Bulvarı, Menderes, 46001. Sk. No:82/1, 46100 Dulkadiroğlu/Kahramanmaraş",+90 533 370 00 76,2,37.5731986,36.9351092,https://maps.google.com/?cid=10327984628525941931,,
Kahramanmaraş,Fidan Paça Üniversite Yolu Şubesi,Restoran,Çorba,4.3,873,"Yamaçtepe, Turgut Özal Blv., 46050 Onikişubat/Kahramanmaraş",+90 533 611 71 32,2,37.5890543,36.8435262,https://maps.google.com/?cid=486480301563690111,,
Kahramanmaraş,Tekir Dostlar et Lokantası,Restoran,Et|Sulu Yemek,4.3,487,"Tekir dostlar et lokantası, Şahinkaya mahallesi, hocalar sokak, 46000 Onikişubat/Kahramanmaraş",+90 505 573 67 89,2,37.811879499999996,36.6762977,https://maps.google.com/?cid=12057026109473288817,,
Kahramanmaraş,Katiphan Maraj Restoran,Restoran,Lokanta,4.3,292,"Kuruluş, 42015. Sk. No:73, 46100 Dulkadiroğlu/Kahramanmaraş",+90 530 335 50 46,,37.5840179,36.9270644,https://maps.google.com/?cid=8672324017976777195,,
Mardin,Hamdani Restaurant - Her Akşam Sıra Gecesi,Restoran,Lokanta,4.8,8452,"Diyarbakır Kapı, Mah.1 Cad No:455, 47100 Artuklu/Mardin",+90 542 188 03 05,4,37.3130774,40.7304572,https://maps.google.com/?cid=16787039775747713971,,
Mardin,Sevenler Lokantası,Restoran,Sulu Yemek,4.3,127,"Ofis, 47060 Mardin Merkez/Mardin",,2,37.280034,40.6930619,https://maps.google.com/?cid=13858482978929149088,,
Mardin,Kebapçı Yusuf Dayı,Kebap Restoranı,Kebap,4.6,89,"Çabuk mahallesi Mardin-Midyat yolu üzeri KYK kız yurdu karşısı, Çabuk, 47100 Artuklu/Mardin",+90 552 868 12 47,2,37.320909300000004,40.7287888,https://maps.google.com/?cid=15504193394116308755,,
Mardin,NARZELİ OCAKBAŞI,Restoran,Lokanta,4.6,71,"Diyarbakır Kapı, 1. Cadde ANTİKKENT AVM NO:329/07, 47400 Artuklu/Mardin",+90 547 347 47 77,2,37.313899899999996,40.728147199999995,https://maps.google.com/?cid=5840222298057778639,,
Muğla,Sini Muğla Restaurant,Restoran,Lokanta,4.5,1595,"Muslihittin, Atatürk Blv. No:37A-B, 48000 Menteşe/Muğla",+90 252 213 07 12,2,37.210976,28.356203999999998,https://maps.google.com/?cid=4768884750932052547,,
Muğla,Gastro Muğla müze restoran,Restoran,Lokanta,4.6,638,"Şeyh, Şeyh Cami Sk. no:3, 48000 Menteşe/Muğla",+90 544 951 08 28,2,37.217929399999996,28.365415600000002,https://maps.google.com/?cid=10216768217783218971,,
Muğla,Meşhur Muğla Köftecisi Zafer'in Yeri,Restoran,Köfte,4.4,454,"Şeyh, Kocahan Gç. No:7, 48000 Muğla Merkez/Muğla",+90 252 212 78 61,2,37.2177217,28.365078099999998,https://maps.google.com/?cid=14047361395360786849,,
Muğla,Esnaf Marmaris,Restoran,Sulu Yemek,4.9,204,"Kemeraltı, 58. Sk. No:5/B, 48700 Marmaris/Muğla",+90 535 330 14 39,2,36.853891,28.269689800000002,https://maps.google.com/?cid=2890221024837025978,,
Muğla,Muğla Lokantası,Restoran,Sulu Yemek,4.5,324,"Şeyh, İsmet İnönü Cd. 21 A, 48000 Muğla Merkez/Muğla",,2,37.217563999999996,28.365399,https://maps.google.com/?cid=2632380661616395329,,
Muğla,HASAN ŞEF - Grill House,Barbekü restoranı,Barbekü restoranı,4.9,178,"Orhaniye, Pazaryeri Sk. No:96 D:c, 48000 Menteşe/Muğla",+90 501 146 35 35,2,37.2155888,28.3684918,https://maps.google.com/?cid=543217026956905514,,
Muğla,Lezzet Lokantası,Restoran,Et|Sulu Yemek,4.7,176,"Emirbeyazıt, Uğur Mumcu Blv. 16/B, 48000 Menteşe/Muğla",+90 535 549 20 94,2,37.20653,28.367825,https://maps.google.com/?cid=11662929240298038294,,
Muğla,Bahane Lokantası,Restoran,Sulu Yemek,4.4,217,"A 2, Muslihittin, Cevdet Nasuhi Savran Sk., 48000 Menteşe/Muğla",+90 252 214 69 55,2,37.210405099999996,28.357129099999998,https://maps.google.com/?cid=2240924243111318941,,
Muğla,Esnaf Lokantası,Restoran,Sulu Yemek,4.3,200,"Tuzla, Mustafa Kemal Blv. No:23, 48300 Fethiye/Muğla",+90 252 612 99 60,2,36.6254536,29.1247574,https://maps.google.com/?cid=11449827262209472474,,
Muğla,Lokanta Çiçek,Restoran,Sulu Yemek,4.8,97,"Orhaniye, 126. Sk. No:38, 48000 Menteşe/Muğla",+90 554 181 48 00,2,37.1986166,28.371580899999998,https://maps.google.com/?cid=3711356421984642082,,
Muş,MUŞ YENİ SAĞLIK LOKANTASI,Restoran,Sulu Yemek,4.5,67,"muş- bitlis yolu üzeri devlet hastanesi karşısı merkez-muş, Yeni, 49100 Muş Merkez/Muş",+90 436 212 23 00,,38.7452003,41.5184122,https://maps.google.com/?cid=10985572378475434533,,
Sakarya,Pehlivan Et Lokantası,Restoran,Et|Sulu Yemek,4.6,3291,"TOTAL PETROL YANI, Hanlıköy, Eskişehir Cd. NO:38, 54000 Arifiye/Sakarya",+90 533 145 08 08,2,40.729572,30.3823191,https://maps.google.com/?cid=4961099966907079466,,
Sakarya,Hacı Arif Lokantası,Türk restoranı,Sulu Yemek,4.4,3041,"Güllük, Adnan Menderes Cd. No:177, 54100 Adapazarı/Sakarya",+90 264 276 16 77,2,40.7601328,30.390265699999993,https://maps.google.com/?cid=1639299656058621239,,
Sakarya,Konya SELÇUKLU MUTFAĞI,Restoran,Lokanta,4.4,762,"No:, Yenidoğan, Yeni Bosna Cd. No:79, 54100 Adapazarı/Sakarya",+90 264 777 28 00,2,40.7701944,30.3961685,https://maps.google.com/?cid=11506014773052877582,,
Sakarya,Vatansever Et Lokantası,Restoran,Et|Sulu Yemek,4.8,363,"Erenler, 1093. Sk No: 1/A, 54200 Erenler/Sakarya",+90 540 151 54 54,2,40.7498795,30.4103302,https://maps.google.com/?cid=2797321497389590329,,
Sakarya,Bahadır Ev Yemekleri,Restoran,Sulu Yemek,4.3,542,"Erenler, Murat Soğancıoğlu Cd, 54200 Erenler/Sakarya",,2,40.7492891,30.4143257,https://maps.google.com/?cid=1053637905596847199,,
Sakarya,Bahadır Ev Yemekleri,Çok Amaçlı Salon,Sulu Yemek,4.3,525,"Selahiye, Çark Cd., 54050 Serdivan/Sakarya",,,40.775947099999996,30.3830076,https://maps.google.com/?cid=14909350328706657694,,
Sakarya,UĞUR KORU LOKANTASI,Restoran,Sulu Yemek,4.4,448,"Orta, Ankara Cd. No:10, 54100 Adapazarı/Sakarya",+90 264 278 08 07,2,40.778732999999995,30.403372999999995,https://maps.google.com/?cid=6205876245544055889,,
Sakarya,Hünkâr Konya Sofrası,Restoran,Sulu Yemek,4.5,286,"İstiklal, Muhsin Yazıcıoğlu Blv. No:45/D, 54050 Serdivan/Sakarya",+90 546 514 84 84,2,40.765119899999995,30.3715321,https://maps.google.com/?cid=12408090262716256605,,
Sakarya,SAKARYA DONATIM SEMT LOKANTASI,Restoran,Sulu Yemek,4.4,301,"Mithatpaşa, Harmanlık Sk. No:10, 54100 Adapazarı/Sakarya",+90 545 465 58 31,2,40.7694931,30.390700499999994,https://maps.google.com/?cid=2654482121580130580,,
Samsun,OGUZUSTAM,Restoran,Lokanta,4.8,523,"kale mahallesi kazım paşa caddesi no:47İlkadım, Kale, 55080 İlkadım/Samsun",+90 546 126 49 40,2,41.2944046,36.3322759,https://maps.google.com/?cid=3901007886141627554,,
Samsun,Et Lokantası,Restoran,Et|Sulu Yemek,4.3,439,"Karadeniz, İstiklal Cd. No:123, 55060 İlkadım/Samsun",+90 362 233 28 64,2,41.283208699999996,36.337204199999995,https://maps.google.com/?cid=9816206495590847995,,
Şanlıurfa,Şanlıurfa İrfan Sofrası,Restoran,Sulu Yemek,4.5,2960,"Sancaktar, Mevlana Cd. no:50, 63040 Haliliye/Şanlıurfa",+90 541 950 41 38,2,37.1518936,38.807021999999996,https://maps.google.com/?cid=17249164127605109462,,
Şanlıurfa,Derdo Usta Ocakbaşı,Aile restoranı,Kebap,4.9,840,"Atatürk, 10. Sk. No:2, 63100 Merkez, Derdo Usta, Atatürk, 63440 Haliliye/Şanlıurfa",+90 542 545 87 22,2,37.1569729,38.790753599999995,https://maps.google.com/?cid=4964752525204798317,,
Şanlıurfa,Hanehan Restaurant,Restoran,Lokanta,4.8,555,"Kurtuluş, Kazancı Bedih Sk. No:3, 63000 Eyyübiye/Şanlıurfa",+90 505 414 44 14,2,37.1497928,38.7913269,https://maps.google.com/?cid=10062408642564054786,,
Şanlıurfa,Birecik Ev Yemekleri,Restoran,Sulu Yemek,4.9,232,"Birecik İlçe Stadı Karşısı, Bellona Mağazası Yanı, Meydan, 63400 Birecik/Şanlıurfa",+90 538 668 26 80,2,37.018695099999995,37.9738775,https://maps.google.com/?cid=13582010415707378005,,
Şanlıurfa,Kahvaltı Keyfi & Yöresel Ev Yemekleri,Kahvaltı restoranı,Kahvaltı|Sulu Yemek,4.4,239,"Yenişehir, Recep Tayyip Erdoğan Blv. No: 47/A, 63200 Haliliye/Şanlıurfa",+90 414 315 50 01,2,37.1659986,38.8063467,https://maps.google.com/?cid=15461825780357124872,,
Yozgat,Zafer Türk Mutfağı,Restoran,Lokanta,4.4,7750,"Adnan Menderes Bulvarı Adliye Sarayı Karşısı, Şeyh Osman, 66200 Yozgat Merkez/Yozgat",+90 354 333 33 33,2,39.818263699999996,34.797454,https://maps.google.com/?cid=7404305914070017022,,
Yozgat,YOZGAT TANDIR EVİ AKİF USTANIN YERİ,Restoran,Lokanta,4.7,174,"Medrese, Yazar Abbas Sayar Sk. ASKERİ GAZİNO ARKASI NO:1 MERKEZ, 66200 Yozgat Merkez/Yozgat",+90 541 217 58 43,2,39.821891799999996,34.809926499999996,https://maps.google.com/?cid=18245464599113326141,,
Yozgat,Yayla Lokantası,Restoran,Sulu Yemek,4.5,208,"medrese mahallesi eski üzüm pazarı aralığı, Medrese, 66100 Yozgat Merkez/Yozgat",+90 354 212 11 41,2,39.8215648,34.8074976,https://maps.google.com/?cid=8276593904960088714,,
Yozgat,Tarihi çapanoğlu çorbacısı,Çorbacı,Çorba,4.7,58,"çay apartmanı tarihi Çapanoğlu corbacısı, İstanbulluoğlu, Müze Cd. no7/D, 66100 Yozgat Merkez/Yozgat",+90 552 530 19 78,2,39.8222058,34.8052661,https://maps.google.com/?cid=8560083832452310995,,
Kırıkkale,Göztepe pide,Orta Doğu Restoranı,Lahmacun & Pide,4.8,1255,"Hüseyin Kahya, Barbaros Hayrettin Cd. 104c, 71200 Kırıkkale Merkez/Kırıkkale",+90 318 224 52 77,2,39.845149,33.50678,https://maps.google.com/?cid=16977175779884358777,,
Kırıkkale,Kebapçı Halil Kırıkkale,Kebap Restoranı,Kebap,4.4,1248,"Bağlarbaşı, Alparslan Türkeş Blv No:81/C, 71100 Kırıkkale Merkez/Kırıkkale",+90 318 224 22 22,2,39.852909499999996,33.493713,https://maps.google.com/?cid=17690303515738082055,,
Kırıkkale,Acıktım Usta,Restoran,Lokanta,4.3,302,"Atadönmez, Atatürk Blv. No:40, 71300 Bahşili/Kırıkkale",+90 318 366 16 60,2,39.814455200000005,33.4720501,https://maps.google.com/?cid=4055951992052453160,,
Kırıkkale,Lezzeti Şahane,Restoran,Lokanta,4.6,150,"Hüseyin Onbaşı, 227. Sk. No:1, 71460 Bahşili/Kırıkkale",+90 318 366 17 20,2,39.812849199999995,33.4714727,https://maps.google.com/?cid=12497738921315822504,,
Kırıkkale,Boğaziçi Lokantası,Restoran,Sulu Yemek,4.4,176,"Ovacık, İzmir. Cad./584. Sok. Gökşen Apt. 11/C, 71200 Kırıkkale Merkez/Kırıkkale",+90 318 225 07 05,1,39.84278760000001,33.504409599999995,https://maps.google.com/?cid=15911109034989184422,,
Kırıkkale,Malatya Zırh Kebap,Restoran,Kebap,4.8,67,"Kaletepe, ZÜMRÜT KALE BLV NO 119 B, 71400 Kırıkkale Merkez/Kırıkkale",+90 532 766 68 05,2,39.852716799999996,33.508486600000005,https://maps.google.com/?cid=2353968520627617015,,
Kırıkkale,Ali chef esnaf lokantası ve catering,Restoran,Sulu Yemek,4.5,61,"Erenler, Alpaslan Sk. no:9 71450, 71450 Karacaali/Yahşihan/Kırıkkale",+90 505 741 72 71,2,39.861601,33.4623308,https://maps.google.com/?cid=13067109927761572230,,
